"","Team","Game","Spread","Outcome","MIN","PTS","P2p","P3p","FTp","OREB","DREB","AST","TOV","STL","BLK","PF"
"1432","OKC",21900566,21,"W",48,113,0.581818181818182,0.34375,0.8,9,43,22,13,8,2,13
"1433","OKC",21900580,-15,"L",48,110,0.557377049180328,0.290322580645161,0.882352941176471,5,32,23,7,6,6,13
"1434","OKC",21900594,13,"W",48,117,0.557692307692308,0.4,0.884615384615385,7,44,25,15,4,6,16
"1435","OKC",21900609,-9,"L",48,121,0.627906976744186,0.380952380952381,0.95,4,27,32,20,14,3,17
"1436","OKC",21900623,-7,"L",48,108,0.5,0.391304347826087,0.888888888888889,6,29,29,10,4,5,20
"1437","OKC",21900635,13,"W",48,119,0.590163934426229,0.318181818181818,0.722222222222222,12,36,25,13,5,4,20
"1438","OKC",21900645,5,"W",48,112,0.466666666666667,0.375,0.769230769230769,7,40,14,13,8,6,18
"1439","OKC",21900655,6,"W",48,120,0.649122807017544,0.473684210526316,0.826086956521739,0,36,22,15,10,7,17
"1440","OKC",21900677,29,"W",48,140,0.590163934426229,0.56,0.764705882352941,6,39,28,14,6,5,20
"1441","OKC",21900683,9,"W",48,113,0.5,0.458333333333333,0.96,3,40,20,14,8,9,14
"1442","OKC",21900697,-10,"L",48,97,0.392857142857143,0.4,0.894736842105263,6,42,23,10,2,4,11
"1443","OKC",21900713,20,"W",48,120,0.537037037037037,0.441176470588235,0.85,10,35,32,13,9,5,17
"1444","OKC",21900725,4,"W",48,111,0.53030303030303,0.225806451612903,0.909090909090909,15,26,26,14,13,4,24
"1445","OKC",21900760,6,"W",48,109,0.527272727272727,0.346153846153846,0.8,5,35,21,12,9,6,15
"1446","OKC",21900773,7,"W",48,108,0.641509433962264,0.217391304347826,0.833333333333333,9,33,21,12,4,6,23
"1447","OKC",21900786,-1,"L",48,111,0.474576271186441,0.407407407407407,0.758620689655172,12,32,14,10,3,3,21
"1448","OKC",21900805,-8,"L",48,106,0.518518518518518,0.354838709677419,0.80952380952381,6,29,19,14,8,2,24
"1449","OKC",21900819,5,"W",48,123,0.507692307692308,0.481481481481481,0.818181818181818,5,35,28,9,11,5,21
"1450","OKC",21900831,12,"W",48,113,0.508196721311475,0.346153846153846,0.888888888888889,14,30,19,12,12,3,19
"1451","OKC",21900846,28,"W",48,131,0.615384615384615,0.454545454545455,0.875,6,48,28,13,7,7,17
"1452","OKC",21900859,2,"W",48,124,0.608695652173913,0.466666666666667,0.742857142857143,7,30,25,12,8,7,17
"1453","OKC",21900875,4,"W",48,112,0.551724137931034,0.346153846153846,0.724137931034483,10,27,20,11,6,4,20
"1454","OKC",21900882,-47,"L",48,86,0.482142857142857,0.171428571428571,0.7,5,31,14,14,8,3,15
"1455","OKC",21900912,-15,"L",48,94,0.471698113207547,0.321428571428571,0.653846153846154,8,35,16,15,7,7,22
"1456","OKC",21900918,7,"W",48,114,0.705882352941177,0.416666666666667,0.705882352941177,2,31,25,16,13,8,18
"1457","OKC",21900932,23,"W",48,126,0.538461538461538,0.387096774193548,0.8,10,28,26,4,8,6,18
"1458","OKC",21900949,1,"W",48,105,0.462962962962963,0.4,0.735294117647059,4,35,16,18,9,7,22
"1459","OKC",21901240,16,"W",48,110,0.607843137254902,0.384615384615385,0.75,11,36,19,22,9,8,21
